YelpCategory,YelpUniqueQuery
Afghan,afghan
African,african
American,american
Arabian,arabian
Argentine,argentine
Armenian,armenian
Asian Fusion,asian fusion
Austrian,austrian
Australian,australian
Austrian,austrian
Baguettes,baguettes
Bangladeshi,bangladeshi
Barbeque,barbeque
Bavarian,bavarian
Belgian,belgian
Brazilian,brazilian
Breakfast & Brunch,breakfast_brunch
British,british
Bulgarian,bulgarian
Burgers,burgers
Burmese,burmese
Cafes,cafes
Cafeteria,cafeteria
Cajun/Creole,cajun
Caribbean,caribbean
Cheesesteaks,cheesesteaks
Chicken Wings,chicken_wings
Chilean,chilean
Chinese,chinese
Comfort Food,comfortfood
Cuban,cuban
Czech,czech
Delis,delis
Diners,diners
Dumplings,dumplings
Eritrean,eritrean
Fast Food,hotdogs
Filipino,filipino
Fish & chips,fishnchips
Food Court,food_cout
Food Stands,foodstands
French,french
German,german
Greek,greek
Guamanian,guamanian
Greek,greek
Halal,halal
Hawaiian,hawaiian
Himalayan,himalayan
Honduran,honduran
Hong Kong Style Cafe,hkcafe
Hot Dogs,hotdog
Hot Pot,hotpot
Hungarian,hungarian
Iberian,iberian
Indian,indpak
Indonesian,indonesian
Italian,italian
Japanese,japanese
Kebab,kebab
Korean,korean
Kosher,kosher
Laotian,laotian
Latin American,latin american
Malaysian,malaysian
Kediterranean,kediterranean
Mexican,mexican
Middle Eastern,midaeastern
Mogolian,mogolian
Moroccan,moroccan
Nicaraguan,nicaraguan
Noodles,noodles
Pakistani,pakistani
Pan Asian,panasian
Persian/Iranian,persian
Peruvian,peruvian
Pizza,pizza
Polish,polish
Portuguese,portuguese
Poutineries,poutineries
Russian,russian
Salad,salad
Sandwiches,sandwiches
Seafood,seafood
Singaporean,singaporean
Soul Food,soulfood
Soup,soup
Sri Lankan,srilankan
SteakHouses,steak
Sushi Bars,sushi
Syrian,syrian
Taiwanese,taiwanese
Tapas Bars,tapas bars
Tapas/Small Plates,tapasmallplates
Tex-Mex,tex-mex
Thai,thai
Turkish,turkish
Ukrainian,ukrainian
Vietnamese,vietnamese
Waffles,waffles
Wraps,wraps
